Applicant ID,Loan Amount,Gross Salary,Years Employed,DTI,Utilisation %,Delinquencies,Open Accounts,Credit History (yrs),Hard Inquiries,Term,APR,Home Ownership,Notes
APP-1000,"£10,234","$36,338",5.4,0.539,40.5%,0,4,24.5,1,36 months,17.01%,Mortgage,
APP-1001,"£3,599","$42,166",,0.132,47.8%,0,8,1.1,0,36 months,10.13%,Rent,
APP-1002,"£12,491","$31,664",1.8,0.213,6.8%,0,11,5.3,1,60 months,9.83%,Rent,referred by branch
APP-1003,"£3,078","$23,265",0.5,0.264,28.6%,2,11,15.2,0,60 months,12.27%,Rent,referred by branch
APP-1004,"£4,250","$28,931",2.4,0.061,20.5%,0,6,6.7,1,36 months,6.82%,Mortgage,online application
APP-1005,"£16,528",,5.5,0.589,36.3%,0,8,5.5,0,36 months,13.42%,Mortgage,repeat customer
APP-1006,"£15,120","$37,424",11.6,0.374,30.9%,0,8,7.0,2,36 months,13.43%,Rent,repeat customer
APP-1007,"£9,046","$70,977",4.7,0.23,32.7%,0,5,16.9,1,36 months,9.3%,Mortgage,
APP-1008,"£3,547","$28,393",4.4,0.348,24.4%,0,9,5.4,0,60 months,11.11%,Mortgage,repeat customer
APP-1009,"£7,920","$26,629",10.6,0.339,18.4%,1,10,3.1,4,60 months,16.42%,Rent,online application
APP-1010,"£6,586","$46,394",4.8,0.37,50.0%,1,6,6.5,0,60 months,15.13%,Mortgage,online application
APP-1011,"£14,503","$43,410",2.9,0.234,20.7%,0,11,,2,36 months,8.57%,Rent,referred by branch
APP-1012,,"$38,281",11.6,0.359,71.4%,0,9,4.1,2,36 months,13.65%,Rent,referred by branch
APP-1013,"£11,273","$22,806",9.8,0.565,6.1%,0,9,10.2,0,60 months,,Own,referred by branch
APP-1014,"£6,201","$35,788",2.8,0.461,56.9%,0,4,,0,36 months,15.17%,Rent,referred by branch
APP-1015,"£4,903","$51,413",3.1,0.229,27.8%,0,3,19.2,1,36 months,11.44%,Rent,referred by branch
APP-1016,"£9,570","$18,544",13.0,0.138,,1,16,,0,60 months,11.54%,,online application
APP-1017,,"$28,888",,0.528,25.1%,0,8,4.3,1,36 months,,Rent,referred by branch
APP-1018,"£4,960",,2.5,0.371,57.5%,0,5,22.7,0,,11.04%,Rent,referred by branch
APP-1019,"£10,613","$19,058",2.8,,33.2%,0,10,16.5,1,60 months,11.34%,Mortgage,repeat customer
APP-1020,"£4,961","$14,460",6.4,0.065,,0,13,8.4,3,60 months,9.38%,Rent,
APP-1021,"£19,289","$32,288",1.2,0.309,41.1%,0,13,18.4,1,60 months,10.77%,Rent,repeat customer
APP-1022,"£18,725","$19,269",2.9,,94.7%,0,16,9.2,0,60 months,13.18%,Own,
APP-1023,"£18,974","$41,591",8.4,0.16,41.0%,0,9,14.7,1,60 months,11.67%,Own,online application
APP-1024,"£7,447","$39,276",5.3,0.541,60.9%,0,10,6.1,1,36 months,15.67%,Own,repeat customer
APP-1025,"£13,477","$33,075",7.0,0.444,36.0%,0,6,12.4,0,36 months,10.6%,,online application
APP-1026,"£9,143","$10,318",4.5,0.164,12.3%,2,10,23.5,1,,,Mortgage,referred by branch
APP-1027,"£7,838","$27,741",1.6,0.647,10.0%,0,,10.1,0,60 months,12.04%,Mortgage,online application
APP-1028,"£8,075","$35,445",3.3,0.141,41.0%,,16,5.1,0,36 months,9.98%,Rent,
APP-1029,"£4,538","$38,432",4.9,0.488,30.2%,2,8,1.7,1,36 months,,Own,online application
APP-1030,"£4,162","$16,898",3.3,0.23,73.0%,0,14,2.5,0,36 months,11.8%,Rent,online application
APP-1031,"£15,940","$28,599",3.9,0.452,21.6%,0,,6.1,1,36 months,11.13%,Mortgage,
APP-1032,"£8,824","$22,264",5.1,0.292,21.8%,0,7,9.4,3,60 months,13.4%,Rent,referred by branch
APP-1033,"£11,269","$24,236",8.1,0.339,4.3%,1,17,15.2,,60 months,10.43%,Rent,
APP-1034,"£18,052",,3.1,0.19,17.4%,0,5,13.2,,36 months,10.54%,Rent,
APP-1035,"£3,499","$24,251",9.7,0.229,25.2%,0,,7.2,0,36 months,8.12%,Own,repeat customer
APP-1036,"£6,183","$35,730",4.5,0.708,29.4%,0,12,11.7,0,36 months,13.21%,Rent,
APP-1037,"£10,995","$56,511",8.7,0.811,29.6%,,11,10.1,0,36 months,16.52%,Own,
APP-1038,"£12,522","$27,125",9.5,0.708,46.5%,,5,12.0,1,36 months,15.66%,Rent,online application
APP-1039,"£7,893","$34,343",13.5,0.548,35.2%,0,,7.7,1,36 months,11.95%,Rent,repeat customer
APP-1040,"£18,352","$38,378",9.1,0.444,30.9%,1,8,,0,36 months,12.56%,Rent,repeat customer
APP-1041,"£11,229","$37,492",9.2,0.331,33.1%,0,5,7.1,0,60 months,12.77%,,referred by branch
APP-1042,"£4,779","$19,682",13.2,0.22,23.8%,0,7,1.0,0,36 months,9.7%,Rent,referred by branch
APP-1043,,"$37,725",0.9,,63.1%,0,10,15.8,0,,16.55%,,online application
APP-1044,"£16,047",,2.0,0.371,51.9%,0,7,38.2,2,36 months,13.86%,Rent,repeat customer
APP-1045,"£13,073","$16,755",9.0,,77.8%,0,11,23.1,4,36 months,17.29%,Own,referred by branch
