loan_amount,annual_income,employment_length,debt_to_income,credit_utilization,num_delinquencies_2y,num_open_accounts,credit_history_length,num_recent_inquiries,loan_term_months,interest_rate,home_ownership_code
20558.0,36942.0,6.0,0.3119,0.5807,1,10,15.7,3,36,16.27,0
9129.0,71673.0,2.0,0.536,0.5495,0,7,5.5,1,60,15.4,1
19602.0,66994.0,6.5,0.2969,0.3543,0,3,26.7,0,36,11.16,1
11597.0,28137.0,2.6,0.2622,0.4702,0,8,18.0,1,36,10.92,1
16585.0,31289.0,8.7,0.9052,0.2579,1,9,14.6,0,36,17.34,0
6853.0,27898.0,10.2,0.3009,0.6192,0,9,8.1,0,60,12.3,1
10799.0,48284.0,4.6,0.1818,0.3894,1,16,4.1,2,60,9.46,0
48053.0,35312.0,4.9,0.2002,0.1559,0,8,5.1,1,60,8.72,0
16236.0,52757.0,1.5,0.5425,0.0422,0,10,25.9,1,60,13.54,0
18040.0,14420.0,2.5,0.1601,0.8555,1,9,1.5,3,36,16.66,1
11362.0,79481.0,0.9,0.3803,0.3003,0,8,19.3,3,36,12.91,1
16520.0,34606.0,7.7,0.1443,0.5621,0,8,10.9,1,60,10.63,0
4916.0,51031.0,10.4,0.2426,0.5621,0,8,6.7,0,36,12.06,1
5924.0,33919.0,1.1,0.1356,0.0993,2,4,18.6,1,36,10.38,1
12764.0,30045.0,3.4,0.1757,0.234,2,11,4.7,0,36,9.04,1
16138.0,45778.0,10.7,0.6319,0.3108,0,6,12.5,0,36,11.5,1
7712.0,54844.0,4.9,0.4601,0.7263,1,8,12.6,1,60,19.91,0
8811.0,32818.0,2.1,0.0853,0.1878,0,12,6.8,0,60,7.39,2
7934.0,33645.0,2.3,0.5694,0.0891,1,7,21.2,1,36,13.65,0
8804.0,51167.0,6.4,0.1607,0.3999,1,12,5.6,1,60,12.05,1
4793.0,23502.0,10.4,0.0766,0.3469,0,14,19.7,5,36,13.22,0
4168.0,17031.0,3.1,0.1221,0.3003,1,10,7.9,2,36,12.68,0
9371.0,44245.0,1.4,0.6093,0.1162,0,5,16.7,1,60,13.05,0
3468.0,25971.0,10.0,0.3126,0.1227,0,9,9.5,1,36,9.71,1
5466.0,13903.0,10.4,0.3266,0.6049,1,7,1.5,2,36,15.01,2
6613.0,24173.0,4.2,0.3154,0.0677,1,8,10.0,2,60,11.89,0
5222.0,28744.0,3.7,0.7497,0.4508,1,6,12.5,0,36,19.04,0
11325.0,19998.0,12.1,0.3395,0.5278,0,3,46.5,5,36,18.71,1
7507.0,17219.0,3.0,0.4675,0.36,0,13,15.4,2,60,15.01,1
9339.0,36987.0,7.7,0.6196,0.6914,2,8,6.8,0,36,20.63,0
5343.0,56876.0,5.6,0.6224,0.5282,1,11,8.8,1,36,15.97,0
6272.0,32320.0,1.0,0.2692,0.1482,0,7,26.8,3,36,10.5,0
13303.0,25039.0,5.7,0.8146,0.7875,0,2,7.7,0,36,14.69,2
12156.0,44024.0,1.4,0.5592,0.567,0,4,6.1,0,60,15.64,1
7391.0,51980.0,2.2,0.7957,0.4229,1,4,12.6,3,60,19.89,0
12146.0,31257.0,2.0,0.2173,0.1994,0,4,3.8,2,36,8.89,2
